FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
62.455,64.955,2.0,5.03902,319.16292524,4.07254097,1909.030273,412.3000488,653.7672119
64.955,67.455,2.0,2.61129,46.5068425,1.59872756,1909.030273,412.3000488,653.7672119
67.455,69.955,2.0,1.49101,157.596497,0.87092307,1909.030273,412.3000488,653.7672119
69.955,72.455,2.0,1.69899,42.7830368,0.7376907,1909.030273,412.3000488,653.7672119
72.455,74.955,2.0,0.36954,30.03111192,0.0,1909.030273,412.3000488,653.7672119
74.955,77.455,2.0,0.20739,20.20207258,0.0,1909.030273,412.3000488,653.7672119
77.455,79.955,2.0,0.47051,10.14024416,0.48637962,1909.030273,412.3000488,653.7672119
79.955,82.455,2.0,1.03146,117.0885262,0.50263733,1909.030273,412.3000488,653.7672119
82.455,84.955,1.0,0.73318,12.54505415,1.36068438,1909.030273,412.3000488,653.7672119
84.955,87.455,2.0,0.4406,15.71366013,0.74261554,1909.030273,412.3000488,653.7672119
87.455,89.955,1.0,0.3346,10.78704712,0.0,1909.030273,412.3000488,653.7672119
89.955,92.455,1.0,0.38427,99.44528883,0.45704775,1909.030273,412.3000488,653.7672119
92.455,94.955,1.0,0.19404,22.20889131,0.9870224,1909.030273,412.3000488,653.7672119
94.955,97.455,2.0,0.4143,31.53116493,0.0,1909.030273,412.3000488,653.7672119
97.455,99.955,1.0,0.02547,14.71261385,1.27412405,1909.030273,412.3000488,653.7672119
99.955,102.455,1.0,0.25072,10.60409827,0.36286787,1909.030273,412.3000488,653.7672119
102.455,104.955,1.0,0.79852,17.76823826,0.0,1909.030273,412.3000488,653.7672119
104.955,107.455,1.0,0.12258,18.52241998,0.0,1909.030273,412.3000488,653.7672119
107.455,109.955,1.0,1.40765,57.0285348,0.41398913,1909.030273,412.3000488,653.7672119
109.955,112.455,1.0,1.24994,26.25666898,0.0,1909.030273,412.3000488,653.7672119
112.455,114.955,1.0,1.03119,38.40492161,0.60641033,1909.030273,412.3000488,653.7672119
114.955,117.455,1.0,1.03322,16.04402144,0.39846224,1909.030273,412.3000488,653.7672119
117.455,119.955,1.0,0.33264,27.60492865,0.95434111,1909.030273,412.3000488,653.7672119
119.955,122.455,1.0,0.50474,75.21815374,0.12965627,1909.030273,412.3000488,653.7672119
122.455,124.955,1.0,0.17581,15.58875136,0.0,1909.030273,412.3000488,653.7672119
124.955,127.455,1.0,0.22832,14.4038503,0.39367781,1909.030273,412.3000488,653.7672119
